Project Identifier,Institution Identifier,,,,,,,,,,Project Descriptors,,,Project Funding,,,,Project Type,,,,,,,,,,,,,,Project Members,,,,,,,,,,,,,,Sectoral Reach,,,,,,,,,,,,,,,Curricular Elements,,,,,,,,,,Project Materials,,,,,,,,
Project Code,Instition Code,Project Lead,Project Lead Title,Contact Person,Contact Email,Contact Number,School / University,Country,District,Region,Project Start,Project end,Project status,Total Budget,Internal Funding,External Funding Source,,Poverty Alleviation,Medical Mission,Alternative Learning,Skills Upgrade,Social Entrepreneurship,Home/Upgrade,Water,Electricity,School Improvement,Equipment,Infrastructure,Communication,Wellness,Others,Brothers / Aspirants,Researchers,Professionals,Teachers/Professors,Support Staff,School leaders,Kindergarten,Grade School ,High School,College,Post-Graduate,Alumni,Parents,Volunteers,Poor,Urban Poor,Out-of-School Youth,Indigenous People,Women,Children,Orphans,Senior Citizens,LGBTQIA+,Mentally Ill,Prisoners,Broken Homes,Unemployed,PWD,Others,Service Learning ,CBL,Reach-In,Reach-Out,Co-Curricular (basic ed),Class Project (tertiary),BS/AB thesis/capstone,MA/MS thesis,PhD thesis,Research Project,Description,Pictures,Videos,Website (optional),Collaborator 1,Collaborator 2,Collaborator 3,Collaborator 4,Collaborator 5
10,DLSU-Z,Johnny Cross,Rector,Rita Sage,"sayon@dlsumanila.com,org",-2176,La Salle Zobel,Mexico,Mexico,Latin America,2021,2023,on-going,15,10,-NA-,100,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
11,DLSU-B,James Creuz,Rector,George Davis,abc@delsalle.edu.pt,-1964,La Salle Bacolod,France,Europe,Europe,2021,2023,abandoned,15,10,UNICEF,100,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
12,DLSU-M,Johnny Cross,Rector,Henry Dustino,abc@delsalle.edu.pt,-2185,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,World Bank,100,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
13,DLSU-M,Juan de la Cruz,Principal,Rita Sage,jr.123@trxf.tlo.jk,-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,abandoned,15,10,UNICEF,100,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
14,DLSU-M,Juan de la Cruz,Rector,George Davis,abc@delsalle.edu.pt,-1964,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,abandoned,15,10,UNICEF,100,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
15,DLSU-B,Juan de la Cruz,Professor,George Davis,abc@delsalle.edu.pt,-1964,La Salle Bacolod,France,Europe,Europe,2021,2023,abandoned,15,10,UNICEF,100,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
16,DLSU-Z,Juan de la Cruz,Rector,George Davis,abc@delsalle.edu.pt,-1964,La Salle Zobel,Mexico,Mexico,Latin America,2021,2023,on-going,15,10,World Bank,100,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
17,DLSU-M,Juan de la Cruz,Principal,Rita Sage,"sayon@dlsumanila.com,org",-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,UNICEF,100,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
18,DLSU-Z,Johnny Cross,Principal,Henry Dustino,jr.123@trxf.tlo.jk,-2185,La Salle Zobel,Mexico,Mexico,Latin America,2021,2023,abandoned,15,10,UNICEF,100,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
19,DLSU-M,Juan de la Cruz,Rector,Rita Sage,"sayon@dlsumanila.com,org",-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,World Bank,100,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
20,DLSU-M,Johnny Cross,Principal,George Davis,abc@delsalle.edu.pt,-1964,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,on-going,15,10,UNICEF,100,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
21,DLSU-Z,Juan de la Cruz,Professor,Rita Sage,abc@delsalle.edu.pt,-2176,La Salle Zobel,Mexico,Mexico,Latin America,2021,2023,completed,15,10,World Bank,100,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
22,DLSU-B,Juan de la Cruz,Rector,Henry Dustino,abc@delsalle.edu.pt,-2185,La Salle Bacolod,France,Europe,Europe,2021,2023,on-going,15,10,UNICEF,100,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
23,DLSU-B,Johnny Cross,Rector,George Davis,abc@delsalle.edu.pt,-1964,La Salle Bacolod,France,Europe,Europe,2021,2023,abandoned,15,10,UNICEF,100,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
24,DLSU-M,Johnny Cross,Professor,Rita Sage,abc@delsalle.edu.pt,-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,World Bank,100,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
25,DLSU-M,Juan de la Cruz,Principal,George Davis,jr.123@trxf.tlo.jk,-1964,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,abandoned,15,10,UNICEF,100,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
26,DLSU-Z,Juan de la Cruz,Professor,Henry Dustino,jr.123@trxf.tlo.jk,-2185,La Salle Zobel,Mexico,Mexico,Latin America,2021,2023,completed,15,10,UNICEF,100,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
27,DLSU-M,James Creuz,Rector,Rita Sage,"sayon@dlsumanila.com,org",-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,World Bank,100,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
28,DLSU-M,Juan de la Cruz,Principal,Rita Sage,abc@delsalle.edu.pt,-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,on-going,15,10,UNICEF,100,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
29,DLSU-M,Juan de la Cruz,Rector,George Davis,abc@delsalle.edu.pt,-1964,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,abandoned,15,10,UNICEF,100,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
30,DLSU-M,Johnny Cross,Principal,Rita Sage,abc@delsalle.edu.pt,-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,on-going,15,10,-NA-,100,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
31,DLSU-M,Juan de la Cruz,Rector,Rita Sage,abc@delsalle.edu.pt,-2176,DLSU-Manila,Philippines,East Asia,Asia Pacific,2021,2023,completed,15,10,UNICEF,100,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
32,DLSU-B,Juan de la Cruz,Professor,Rita Sage,"sayon@dlsumanila.com,org",-2176,La Salle Bacolod,France,Europe,Europe,2021,2023,on-going,15,10,UNICEF,100,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
33,DLSU-B,James Creuz,Principal,George Davis,jr.123@trxf.tlo.jk,-1964,La Salle Bacolod,France,Europe,Europe,2021,2023,completed,15,10,UNICEF,100,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,"This project was initiated by the Bishop of the city of Arguelles in 1979, and is now incorprated in the curricuoum of all engineering students as a service learning component at the junior year.",www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph,www.dlsu.edu.ph
